"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Ignore", "YAML", "XML", "CSS", "TypeScript JSX", "Prisma", "MS SQL", "CSV", "Shell Script", "comment", "blank", "total"
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/(index)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/benchmark/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/(components)/LayerDetailInfo/CircularityInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/(components)/LayerDetailInfo/MaterialInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 77
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/(components)/LayerDetailInfo/ResourceInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/(components)/LayerDetailInfo/TabBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/(components)/LayerDetailInfo/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/(components)/ProjectCatalog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/component-layer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 5, 51
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/grp/(web-optimized)/[passportId]/catalog/components/[componentId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 5, 70
